,Data,Open,High,Low,Close,Volume,Ajustado,Retornos,Retornos Ajustados
170,2001-09-06,12594,12599,12251,12255,0,12255,-339,-339
171,2001-09-10,12238,12238,11901,11922,0,11922,-316,-316
172,2001-09-12,10773,11319,10706,11113,0,11113,340,340
173,2001-09-13,11127,11156,10290,10306,0,10306,-821,-821
174,2001-09-14,10262,10271,9533,10034,0,10034,-228,-228
175,2001-09-17,10032,10577,10032,10550,0,10550,518,518
176,2001-09-18,10543,10708,10321,10554,0,10554,11,11
177,2001-09-19,10560,10836,10485,10745,0,10745,185,185
178,2001-09-20,10719,10719,10470,10543,0,10543,-176,-176
179,2001-09-21,10493,10493,9890,10419,0,10419,-74,-74
180,2001-09-24,10453,10694,10453,10533,0,10533,80,80
181,2001-09-25,10539,10596,10195,10229,0,10229,-310,-310
182,2001-09-26,10227,10274,9893,10006,0,10006,-221,-221
183,2001-09-27,9996,10462,9705,10405,0,10405,409,409
184,2001-09-28,10412,10714,10412,10636,0,10636,224,224
185,2001-10-01,10633,10633,10354,10501,0,10501,-132,-132
186,2001-10-02,10492,10556,10299,10351,0,10351,-141,-141
187,2001-10-03,10356,10356,10189,10233,0,10233,-123,-123
188,2001-10-04,10241,10329,10026,10062,0,10062,-179,-179
189,2001-10-05,10068,10271,9985,10197,0,10197,129,129
190,2001-10-08,10120,10175,9986,10095,0,10095,-25,-25
191,2001-10-09,10109,10323,10103,10284,0,10284,175,175
192,2001-10-10,10284,10462,10255,10462,0,10462,178,178
193,2001-10-11,10462,10790,10461,10785,0,10785,323,323
194,2001-10-15,10775,11330,10695,11329,0,11329,554,554
195,2001-10-16,11326,11475,11165,11258,0,11258,-68,-68
196,2001-10-17,11287,11485,11166,11271,0,11271,-16,-16
197,2001-10-18,11260,11263,10948,10995,0,10995,-265,-265
198,2001-10-19,11003,11413,10894,11332,0,11332,329,329
199,2001-10-22,11343,11725,11293,11700,0,11700,357,357
200,2001-10-23,11699,11803,11584,11613,0,11613,-86,-86
201,2001-10-24,11611,11666,11430,11468,0,11468,-143,-143
202,2001-10-25,11459,11783,11307,11724,0,11724,265,265
203,2001-10-26,11725,11924,11715,11781,0,11781,56,56
204,2001-10-29,11784,11784,11331,11377,0,11377,-407,-407
205,2001-10-30,11334,11396,11024,11024,0,11024,-310,-310
206,2001-10-31,11057,11365,11047,11365,0,11365,308,308
207,2001-11-01,11362,11498,11177,11388,0,11388,26,26
208,2001-11-05,11389,12177,11389,12165,0,12165,776,776
209,2001-11-06,12154,12481,12139,12416,0,12416,262,262
210,2001-11-07,12405,12982,12331,12616,0,12616,211,211
211,2001-11-08,12633,12892,12473,12554,0,12554,-79,-79
212,2001-11-09,12542,12778,12412,12731,0,12731,189,189
213,2001-11-12,12729,12767,12233,12567,0,12567,-162,-162
214,2001-11-13,12591,13094,12591,12918,0,12918,327,327
215,2001-11-14,12928,13077,12746,12826,0,12826,-102,-102
216,2001-11-16,12838,13046,12807,12883,0,12883,45,45
217,2001-11-19,12906,13137,12902,12987,0,12987,81,81
218,2001-11-20,12992,12998,12619,12638,0,12638,-354,-354
219,2001-11-21,12646,12832,12560,12794,0,12794,148,148
220,2001-11-22,12794,13056,12794,13019,0,13019,225,225
221,2001-11-23,13037,13529,13037,13424,0,13424,387,387
222,2001-11-26,13443,13760,13443,13760,0,13760,317,317
223,2001-11-27,13771,13791,13490,13603,0,13603,-168,-168
224,2001-11-28,13553,13553,12913,13019,0,13019,-534,-534
225,2001-11-29,13019,13187,12622,12736,0,12736,-283,-283
226,2001-11-30,12744,13053,12704,12932,0,12932,188,188
227,2001-12-03,12914,13336,12870,13336,0,13336,422,422
228,2001-12-04,13374,13565,13071,13147,0,13147,-227,-227
229,2001-12-05,13186,13382,13103,13382,0,13382,196,196
230,2001-12-06,13382,13575,13230,13539,0,13539,157,157
231,2001-12-07,13565,13662,13233,13299,0,13299,-266,-266
232,2001-12-10,13299,13446,13193,13446,0,13446,147,147
233,2001-12-11,13455,13595,13337,13348,0,13348,-107,-107
234,2001-12-12,13350,13576,13297,13563,0,13563,213,213
235,2001-12-13,13577,13580,13144,13148,0,13148,-429,-429
236,2001-12-14,13129,13154,12894,12959,0,12959,-170,-170
237,2001-12-17,12965,13063,12912,12912,0,12912,-53,-53
238,2001-12-18,12935,13414,12924,13397,0,13397,462,462
239,2001-12-19,13405,13508,13284,13290,0,13290,-115,-115
240,2001-12-20,13271,13271,12809,12918,0,12918,-353,-353
241,2001-12-21,12935,13385,12935,13369,0,13369,434,434
242,2001-12-26,13367,13446,13245,13358,0,13358,-9,-9
243,2001-12-27,13371,13823,13369,13756,0,13756,385,385
244,2001-12-28,13741,13969,13510,13578,0,13578,-163,-163
245,2002-01-02,13586,13902,13571,13872,0,13872,286,286
246,2002-01-03,14125,14286,14121,14265,0,14265,140,140
247,2002-01-04,14250,14358,14103,14332,0,14332,82,82
248,2002-01-07,14327,14413,14273,14379,0,14379,52,52
249,2002-01-08,14385,14385,14099,14168,0,14168,-217,-217
250,2002-01-09,14157,14190,13919,14021,0,14021,-136,-136
251,2002-01-10,14010,14010,13511,13570,0,13570,-440,-440
252,2002-01-11,13554,13835,13554,13587,0,13587,33,33
253,2002-01-14,13594,13601,13068,13122,0,13122,-472,-472
254,2002-01-15,13131,13362,12937,13011,0,13011,-120,-120
255,2002-01-16,13006,13186,12941,13084,0,13084,78,78
256,2002-01-17,13109,13359,13109,13337,0,13337,228,228
257,2002-01-18,13340,13407,13262,13373,0,13373,33,33
258,2002-01-21,13367,13367,13134,13155,0,13155,-212,-212
259,2002-01-22,13177,13331,12956,13004,0,13004,-173,-173
260,2002-01-23,13025,13285,12982,13232,0,13232,207,207
