Data,Open,High,Low,Close,Volume,Ajustado
8/21/2001,13122,13186,12886,12892,0,12892
8/22/2001,12907,13161,12853,12952,0,12952
8/23/2001,12961,13013,12703,12751,0,12751
8/24/2001,12749,13007,12681,13001,0,13001
8/27/2001,13000,13048,12849,12996,0,12996
8/28/2001,13005,13114,12942,13018,0,13018
8/29/2001,13040,13182,13012,13077,0,13077
8/30/2001,13074,13114,12798,12892,0,12892
8/31/2001,12906,12949,12789,12841,0,12841
9/3/2001,12849,12863,12696,12800,0,12800
9/4/2001,12812,12947,12767,12767,0,12767
9/5/2001,12767,12768,12462,12591,0,12591
9/6/2001,12594,12599,12251,12255,0,12255
9/10/2001,12238,12238,11901,11922,0,11922
9/12/2001,10773,11319,10706,11113,0,11113
9/13/2001,11127,11156,10290,10306,0,10306
9/14/2001,10262,10271,9533,10034,0,10034
9/17/2001,10032,10577,10032,10550,0,10550
9/18/2001,10543,10708,10321,10554,0,10554
9/19/2001,10560,10836,10485,10745,0,10745
9/20/2001,10719,10719,10470,10543,0,10543
9/21/2001,10493,10493,9890,10419,0,10419
9/24/2001,10453,10694,10453,10533,0,10533
9/25/2001,10539,10596,10195,10229,0,10229
9/26/2001,10227,10274,9893,10006,0,10006
9/27/2001,9996,10462,9705,10405,0,10405
9/28/2001,10412,10714,10412,10636,0,10636
10/1/2001,10633,10633,10354,10501,0,10501
10/2/2001,10492,10556,10299,10351,0,10351
10/3/2001,10356,10356,10189,10233,0,10233
10/4/2001,10241,10329,10026,10062,0,10062
10/5/2001,10068,10271,9985,10197,0,10197
10/8/2001,10120,10175,9986,10095,0,10095
10/9/2001,10109,10323,10103,10284,0,10284
10/10/2001,10284,10462,10255,10462,0,10462
10/11/2001,10462,10790,10461,10785,0,10785
10/15/2001,10775,11330,10695,11329,0,11329
10/16/2001,11326,11475,11165,11258,0,11258
10/17/2001,11287,11485,11166,11271,0,11271
10/18/2001,11260,11263,10948,10995,0,10995
10/19/2001,11003,11413,10894,11332,0,11332
10/22/2001,11343,11725,11293,11700,0,11700
10/23/2001,11699,11803,11584,11613,0,11613
10/24/2001,11611,11666,11430,11468,0,11468
10/25/2001,11459,11783,11307,11724,0,11724
10/26/2001,11725,11924,11715,11781,0,11781
10/29/2001,11784,11784,11331,11377,0,11377
10/30/2001,11334,11396,11024,11024,0,11024
10/31/2001,11057,11365,11047,11365,0,11365
11/1/2001,11362,11498,11177,11388,0,11388
11/5/2001,11389,12177,11389,12165,0,12165
11/6/2001,12154,12481,12139,12416,0,12416
11/7/2001,12405,12982,12331,12616,0,12616
11/8/2001,12633,12892,12473,12554,0,12554
11/9/2001,12542,12778,12412,12731,0,12731
11/12/2001,12729,12767,12233,12567,0,12567
11/13/2001,12591,13094,12591,12918,0,12918
11/14/2001,12928,13077,12746,12826,0,12826
11/16/2001,12838,13046,12807,12883,0,12883
11/19/2001,12906,13137,12902,12987,0,12987
11/20/2001,12992,12998,12619,12638,0,12638
11/21/2001,12646,12832,12560,12794,0,12794
11/22/2001,12794,13056,12794,13019,0,13019
11/23/2001,13037,13529,13037,13424,0,13424
11/26/2001,13443,13760,13443,13760,0,13760
11/27/2001,13771,13791,13490,13603,0,13603
11/28/2001,13553,13553,12913,13019,0,13019
11/29/2001,13019,13187,12622,12736,0,12736
11/30/2001,12744,13053,12704,12932,0,12932
12/3/2001,12914,13336,12870,13336,0,13336
12/4/2001,13374,13565,13071,13147,0,13147
12/5/2001,13186,13382,13103,13382,0,13382
12/6/2001,13382,13575,13230,13539,0,13539
12/7/2001,13565,13662,13233,13299,0,13299
12/10/2001,13299,13446,13193,13446,0,13446
12/11/2001,13455,13595,13337,13348,0,13348
12/12/2001,13350,13576,13297,13563,0,13563
12/13/2001,13577,13580,13144,13148,0,13148
12/14/2001,13129,13154,12894,12959,0,12959
12/17/2001,12965,13063,12912,12912,0,12912
12/18/2001,12935,13414,12924,13397,0,13397
12/19/2001,13405,13508,13284,13290,0,13290
12/20/2001,13271,13271,12809,12918,0,12918
12/21/2001,12935,13385,12935,13369,0,13369
12/26/2001,13367,13446,13245,13358,0,13358
12/27/2001,13371,13823,13369,13756,0,13756
12/28/2001,13741,13969,13510,13578,0,13578
1/2/2002,13586,13902,13571,13872,0,13872
1/3/2002,14125,14286,14121,14265,0,14265
1/4/2002,14250,14358,14103,14332,0,14332
1/7/2002,14327,14413,14273,14379,0,14379
1/8/2002,14385,14385,14099,14168,0,14168
1/9/2002,14157,14190,13919,14021,0,14021
1/10/2002,14010,14010,13511,13570,0,13570
1/11/2002,13554,13835,13554,13587,0,13587
1/14/2002,13594,13601,13068,13122,0,13122
1/15/2002,13131,13362,12937,13011,0,13011
1/16/2002,13006,13186,12941,13084,0,13084
1/17/2002,13109,13359,13109,13337,0,13337
1/18/2002,13340,13407,13262,13373,0,13373
1/21/2002,13367,13367,13134,13155,0,13155
1/22/2002,13177,13331,12956,13004,0,13004
1/23/2002,13025,13285,12982,13232,0,13232
1/24/2002,13239,13309,13147,13162,0,13162
1/28/2002,13161,13215,12990,13002,0,13002
1/29/2002,13010,13182,12476,12501,0,12501
1/30/2002,12512,12627,12301,12532,0,12532
1/31/2002,12563,12812,12561,12721,0,12721
2/1/2002,12723,12783,12567,12659,0,12659
2/4/2002,12648,12655,12416,12513,0,12513
2/5/2002,12557,12778,12415,12748,0,12748
2/6/2002,12751,12883,12666,12751,0,12751
2/7/2002,12752,12774,12684,12684,0,12684
2/8/2002,12684,12693,12591,12598,0,12598
2/13/2002,12599,12961,12504,12961,0,12961
2/14/2002,12962,13245,12908,13245,0,13245
2/15/2002,13222,13300,13169,13300,0,13300
2/18/2002,13208,13238,13027,13122,0,13122
2/19/2002,13125,13245,12984,12992,0,12992
2/20/2002,13001,13330,12919,13303,0,13303
2/21/2002,13328,13677,13328,13530,0,13530
2/22/2002,13535,13641,13513,13563,0,13563
2/25/2002,13567,14005,13567,13978,0,13978
2/26/2002,13975,14053,13832,13964,0,13964
2/27/2002,13978,14251,13978,14212,0,14212
2/28/2002,14216,14221,14033,14033,0,14033
3/1/2002,14047,14355,13978,14343,0,14343
3/4/2002,14373,14474,14100,14471,0,14471
3/5/2002,14455,14482,14011,14011,0,14011
3/6/2002,14007,14007,13683,13839,0,13839
3/7/2002,13836,14011,13640,13726,0,13726
3/8/2002,13783,13962,13767,13962,0,13962
3/11/2002,13959,14032,13593,13696,0,13696
3/12/2002,13717,14213,13710,14181,0,14181
3/13/2002,14191,14352,14100,14244,0,14244
3/14/2002,14240,14337,14025,14117,0,14117
3/15/2002,14120,14370,14089,14365,0,14365
3/18/2002,14366,14495,14217,14245,0,14245
3/19/2002,14266,14330,14069,14118,0,14118
3/20/2002,14123,14158,13895,14090,0,14090
3/21/2002,14086,14086,13662,13717,0,13717
3/22/2002,13723,13726,13283,13312,0,13312
3/25/2002,13359,13430,13183,13278,0,13278
3/26/2002,13309,13570,13309,13570,0,13570
3/27/2002,13569,13579,13425,13425,0,13425
3/28/2002,13428,13498,13226,13255,0,13255
